Date,Target_Site,Milestone_Category,Description,Source_URL
12/2021,"Abilene, TX (Stargate)",Project & Strategy,"Taylor County and the City of Abilene announce a partnership with Lancium to build a ""Clean Compute Campus."" Lancium plans to invest $2.4 billion over 20 years.",https://abilenetx.gov/DocumentCenter/View/16123/DCOA-Lancium-news-release
06/2024,"Abilene, TX (Stargate)",Construction,Construction begins on the first data hall.,https://www.businessinsider.com/texas-stargate-data-center-build-cost-2025-1
03/2025,"Abilene, TX (Stargate)",Project & Strategy,Crusoe announces the expansion of the Abilene campus to 1.2 GW.,https://lancium.com/2025/03/18/crusoe-expands-ai-data-center-campus-in-abilene-to-1-2-gigawatts/
05/2025,"Abilene, TX (Stargate)",Project & Strategy,A presentation by Lancium shows the rapid development of the Abilene site.,https://www.esig.energy/wp-content/uploads/2025/05/ESIG_LLTF_PresentationLancium.pdf
06/2025,"Abilene, TX (Stargate)",Construction,"Phase 2 of the Stargate project is underway, with the simultaneous construction of six structures.",https://www.aterio.io/blog/stargate-phase-2-abilene-tx-construction-update
10/2025,"Abilene, TX (Stargate)",Project & Strategy,Lancium secures $600M in funding for the Clean Campus development.,https://www.jsa.net/lancium-ai-future-600m-clean-campus-development/
12/2025,"Abilene, TX (Stargate)",Project & Strategy,"Crusoe's Abilene AI factory wins ""North American Data Center Project of the Year.""",https://www.crusoe.ai/resources/newsroom/crusoe-wins-north-american-data-center-project-of-the-year-at-2025-data-center-dynamics-global-awards
01/2026,"Abilene, TX (Stargate)",Construction,Reports indicate the first building is nearing completion.,https://www.texasstandard.org/stories/stargate-data-center-abilene-texas-construction-ai-artificial-intelligence/
03/2026,"Abilene, TX (Stargate)",Project & Strategy,Oracle and OpenAI drop plans for a 600MW expansion.,https://www.tomshardware.com/tech-industry/oracle-and-openai-scrap-planned-600mw-abilene-expansion
03/2026,"Abilene, TX (Stargate)",Project & Strategy,"Microsoft takes over the expansion, bringing the total to 10 data center buildings.",https://apnews.com/article/ai-stargate-microsoft-openai-crusoe-oracle-f4f74c3a4617d8cfab5b933fc31ccc6e
Late 2023,"Memphis, TN (Colossus 1)",Land Acquisition,Phoenix Investors purchased the former Electrolux facility and 580 acres of land.,https://www.costar.com/article/7380752/xai-lease-of-delta-industrial-park
03/2025,"Memphis, TN (Colossus 1)",Leasing,xAI leased the property from Phoenix Investors.,https://www.costar.com/article/7380752/xai-lease-of-delta-industrial-park
Early 06/2025,"Memphis, TN (Colossus 1)",Construction,xAI moved into the facility.,https://www.costar.com/article/7380752/xai-lease-of-delta-industrial-park
2024,"Memphis, TN (Colossus 1)",Project & Strategy,xAI came to Memphis.,https://www.datacenterdynamics.com/en/news/elon-musks-xai-to-spend-659m-on-new-building-for-memphis-data-center-cluster/
07/02/2025,"Memphis, TN (Colossus 1)",Permitting,Shelby County Health Department approves construction permit for 15 natural gas turbines.,https://memphischamber.com/blog/press-release/greater-memphis-chamber-commends-shelby-county-health-departments-approval-of-xais-environmentally-advanced-backup-power-system/
08/2022,"Fayetteville, GA (Fairwater)",Land Acquisition,QTS acquired 615 acres for Project Excalibur for $153.8 million.,https://www.datacenterdynamics.com/en/news/qts-files-to-expand-fayetteville-data-center-campus-in-georgia/
2022,"Fayetteville, GA (Fairwater)",Permitting,QTS filed for development permits for Project Excalibur.,https://www.datacenterdynamics.com/en/news/qts-files-to-expand-fayetteville-data-center-campus-in-georgia/
10/2025,"Fayetteville, GA (Fairwater)",Operations,Microsoft's Fairwater AI datacenter began operations.,https://news.microsoft.com/source/features/ai/from-wisconsin-to-atlanta-microsoft-connects-datacenters-to-build-its-first-ai-superfactory/
01/2026,"Fayetteville, GA (Fairwater)",Permitting,QTS filed a Development of Regional Impact application for ATL2 East.,https://www.datacenterdynamics.com/en/news/qts-files-to-expand-fayetteville-data-center-campus-in-georgia/
2029,"Fayetteville, GA (Fairwater)",Construction,Projected completion for the ATL2 East project.,https://www.datacenterdynamics.com/en/news/qts-files-to-expand-fayetteville-data-center-campus-in-georgia/
01/07/2025,"Port Washington, WI (Lighthouse)",Permitting,Pre-Development Agreement between Red Granite and City,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
01/21/2025,"Port Washington, WI (Lighthouse)",Permitting,Pre-Annexation Agreement between Red Granite and City,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
02/04/2025,"Port Washington, WI (Lighthouse)",Permitting,First Amendment to Pre-Development Agreement between Red Granite and City,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
08/08/2025,"Port Washington, WI (Lighthouse)",Permitting,"Draft Development Agreement - Vantage Data Centers Management Company, LLC",https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
08/19/2025,"Port Washington, WI (Lighthouse)",Permitting,"Final Development Agreement - Vantage Data Centers Management Company, LLC",https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
08/20/2025,"Port Washington, WI (Lighthouse)",Project & Strategy,Port Washington Common Council Approves Development Agreement for New Data Center Campus,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
08/28/2025,"Port Washington, WI (Lighthouse)",Permitting,Plan Commission Presentation,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
10/16/2025,"Port Washington, WI (Lighthouse)",Permitting,Notice of Public Hearing and Joint Review Board Meeting,https://www.portwashingtonwi.gov/Home/Components/News/News/553/15
10/2024,"Barker, NY (Lake Mariner)",Project & Strategy,"TeraWulf enters into new long-term ground lease with Somerset Operating Company, LLC.",https://investors.terawulf.com/news-events/press-releases/detail/88/terawulf-enters-into-long-term-ground-lease-at-lake-mariner
