Target_Site,Projected_IT_Capacity_MW,Utility_Provider,Infrastructure_Status,First_Power_Date_Estimate,Source_URL
"Abilene, TX (Stargate)",2100 MW,ERCOT (Electric Reliability Council of Texas),"The project is being developed in phases. The initial 1.2 GW interconnect is approved, and multiple data halls are under construction. The campus is designed for high-density AI workloads.",06/2026,https://www.datacentermap.com/usa/texas/abilene/abilene-clean-campus/ | https://www.crusoe.ai/resources/newsroom/crusoe-announces-new-900-mw-ai-factory-campus-in-abilene-texas-to-support-microsoft-ai-infrastructure | https://lancium.com/locations/
"Memphis, TN (Colossus 1)",Unknown,"Memphis Light, Gas and Water (MLGW)","Primary emergency power from battery pack system, with 15 natural gas turbines as secondary backup. Turbines have SCR technology for reduced emissions. An $80 million investment was also made in a water recycling plant.",06/2024,https://memphischamber.com/blog/press-release/greater-memphis-chamber-commends-shelby-county-health-departments-approval-of-xais-environmentally-advanced-backup-power-system/ | https://www.mlgw.com/xai | https://www.selc.org/news/xai-built-an-illegal-power-plant-to-power-its-data-center/ | https://en.wikipedia.org/wiki/Colossus_(supercomputer)
"Fayetteville, GA (Fairwater)","250 MW (Project Excalibur), with potential for over 1.4 GW",Georgia Power / Coweta-Fayette EMC,"Two-story design, advanced liquid cooling, AI WAN, NVIDIA GB200 NVL72 racks",10/2025,https://www.datacenterdynamics.com/en/news/qts-files-to-expand-fayetteville-data-center-campus-in-georgia/ | https://news.microsoft.com/source/features/ai/from-wisconsin-to-atlanta-microsoft-connects-datacenters-to-build-its-first-ai-superfactory/
"Port Washington, WI (Lighthouse)",902 MW,We Energies,"On-site substation, new transmission lines, and new substations to be built by American Transmission Co.",2028,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin | https://urbanmilwaukee.com/2025/10/18/port-washington-data-center-requires-1-4-billion-transmission-line-project/
"Barker, NY (Lake Mariner)",750 MW,NYSEG / NYPA / NM-NG,Redevelopment of a former coal plant site.,06/2026,https://www.nyiso.com/documents/20142/1407078/NYISO-Interconnection-Queue.xlsx
"Grand Forks, ND (Core Scientific)",100 MW,Minnkota Power Cooperative Inc.,"The Walle substation, a major transmission substation south of Grand Forks, was built to support load growth in the region. It was energized in Spring 2024 and is a key component of the power infrastructure for the data center.",11/2021,https://news.minnkota.com/post/welcoming-walle
"Warren, OH (Lordstown)",Unknown,Ohio Edison (FirstEnergy) / PJM Interconnection,"Existing manufacturing plant to be modernized. A wetland and stream delineation report was submitted, suggesting early-stage development. A moratorium on new data centers in Lordstown may impact the project.",Unknown,https://www.wfmj.com/archives/data-center-to-occupy-small-part-of-lordstown-ai-hub-feature-advanced-design/article_533f268a-ec1d-5378-9ccb-ceec7d6d343e.html | https://businessjournaldaily.com/documents-shed-light-on-potential-expansion-at-foxconns-lordstown-plant/ | https://findenergy.com/oh/lordstown-electricity/ | https://www.pjm.com/planning/services-requests/interconnection-queues
"Saline, MI (Stargate)",1400 MW,DTE Energy,"DTE Energy contracts approved by MPSC. Oracle to pay for energy costs, including battery storage and new infrastructure.",Unknown,https://planetdetroit.org/2025/12/dte-data-center-contracts-approved/ | https://www.wsj.com/real-estate/relateds-more-than-7-billion-data-center-project-is-one-of-largest-deals-yet-c2aee808 | https://bridgemi.com/michigan-environment-watch/dte-consumers-advance-plans-for-power-hungry-data-centers-in-michigan/
"Claude, TX (Goodnight)",1030 MW,"Greenbelt Electric Coop, INC",Natural gas turbines and battery storage added to power mix.,2027,https://www.tdlr.texas.gov/TABS/Projects/TABS2025026470
"Santa Teresa, NM (Project Jupiter)",700-900 MW,El Paso Electric,On-site microgrid with natural gas turbines and battery storage. Closed-loop cooling system.,2026,https://www.datacenterdynamics.com/en/news/stack-joins-multi-billion-dollar-data-center-microgrid-project-in-new-mexico/ | https://deceleration.news/open-ai-oracle-to-power-massive-165b-project-jupiter-data-center-campus-outside-parched-el-paso/
